country,broadband_download_mbps,mobile_download_mbps
Afghanistan,4.54,
Albania,86.90,96.83
Algeria,50.85,41.45
Angola,21.64,
Antigua and Barbuda,41.46,
Argentina,105.42,59.72
Armenia,73.95,61.25
Australia,135.31,128.84
Austria,108.88,119.02
Azerbaijan,84.82,79.94
Bahamas,84.08,
Bahrain,144.64,230.27
Bangladesh,62.73,40.78
Belarus,86.12,20.47
Belgium,134.83,119.65
Belize,48.26,
Benin,24.46,
Bolivia,61.89,13.96
Bosnia and Herzegovina,36.03,28.88
Botswana,40.68,
Brazil,215.58,251.55
Brunei,85.60,220.42
Bulgaria,87.04,237.03
Burkina Faso,47.76,
Cambodia,48.69,50.13
Cameroon,12.82,
Canada,245.77,90.31
Cape Verde,40.02,
Chile,348.41,88.67
China,222.29,159.38
Colombia,199.70,40.68
Costa Rica,153.94,78.31
Croatia,97.87,115.45
Cuba,3.67,
Cyprus,130.59,109.87
Czech Republic,87.22,97.29
DR Congo,47.43,
Denmark,256.74,183.74
Dominican Republic,60.98,
Ecuador,139.77,39.14
Egypt,91.25,47.15
El Salvador,91.46,42.46
Estonia,93.69,143.38
Eswatini,,19.55
Ethiopia,10.12,
Fiji,30.76,63.96
Finland,157.81,134.77
France,349.25,139.11
Gabon,40.31,
Georgia,44.03,156.29
Germany,101.08,75.67
Ghana,51.22,
Greece,80.14,129.10
Grenada,91.30,
Guatemala,85.29,56.14
Haiti,51.86,
Honduras,83.93,42.44
Hong Kong,343.36,89.47
Hungary,230.29,85.61
Iceland,289.98,
India,60.34,131.47
Indonesia,42.79,49.30
Iran,19.88,56.63
Iraq,42.21,58.96
Ireland,180.01,62.10
Israel,270.69,63.45
Italy,103.96,85.32
Ivory Coast,59.14,
Jamaica,95.58,
Japan,219.78,63.17
Jordan,192.49,87.40
Kazakhstan,82.47,94.54
Kenya,15.75,50.63
Kosovo,83.61,
Kuwait,224.13,384.40
Kyrgyzstan,83.87,51.00
Laos,50.44,47.19
Latvia,120.41,136.23
Lebanon,17.47,43.55
Lesotho,36.91,
Libya,10.63,24.36
Lithuania,200.23,130.71
Luxembourg,201.60,143.96
Macau,314.32,
Madagascar,28.57,
Malaysia,161.18,139.41
Maldives,20.15,
Mali,21.61,
Malta,187.47,
Mauritania,53.57,
Mauritius,59.56,
Mexico,91.99,41.86
Moldova,164.43,55.44
Mongolia,79.62,
Montenegro,96.28,81.66
Morocco,54.52,59.49
Mozambique,31.97,
Myanmar,28.03,
Namibia,16.40,
Nepal,77.33,
Netherlands,218.31,163.65
New Zealand,217.32,128.04
Nicaragua,91.94,
Niger,23.28,
Nigeria,29.73,44.06
North Macedonia,55.31,164.77
Norway,161.47,156.34
Oman,92.69,152.80
Pakistan,17.77,24.72
Palestine,74.54,
Panama,192.18,30.89
Paraguay,103.51,20.11
Peru,235.09,35.04
Philippines,106.71,58.12
Poland,207.54,98.65
Portugal,227.53,140.22
Qatar,203.49,515.23
Romania,261.35,78.79
Russia,89.20,35.89
Rwanda,41.02,
Saint Kitts and Nevis,86.47,
San Marino,99.32,
Saudi Arabia,132.66,194.37
Senegal,21.85,
Serbia,99.12,68.78
Singapore,410.06,186.07
Slovakia,97.07,106.91
Slovenia,122.90,139.03
Somalia,19.36,
South Africa,48.40,68.70
South Korea,234.07,230.84
Spain,255.02,81.26
Sri Lanka,32.03,11.40
Suriname,20.04,
Sweden,181.27,132.25
Switzerland,266.34,126.93
Syria,3.51,24.57
Taiwan,258.86,119.57
Tajikistan,39.57,
Tanzania,20.07,
Thailand,272.65,135.17
Togo,35.60,
Trinidad and Tobago,148.99,
Tunisia,18.07,64.08
Turkey,64.22,69.09
Uganda,27.56,
Ukraine,88.92,58.52
United Arab Emirates,382.32,652.87
United Kingdom,154.10,69.60
United States,298.38,170.61
Uruguay,187.28,
Uzbekistan,88.82,55.50
Venezuela,95.02,24.53
Vietnam,271.95,160.00
Yemen,26.38,
Zambia,39.74,
Zimbabwe,35.38,
